Group,Subgroup,Num. nodes,Num. edges,Density,Diameter
Yellow,1,1780,1060719,0.669937662239233,0
Yellow,2,1771,1053119,0.6719169800967885,0
Yellow,str,3551,2113839,0.33536896966139274,0
Yellow,dyn,3551,2115608,0.33564962855137015,0
Red,1,1777,1066283,0.6757282747012628,0
Red,2,1772,1084732,0.6913057498983498,0
Red,str,3549,2151016,0.34165204610092303,0
Red,dyn,3549,2152784,0.34193286261623784,0
Orange,1,1779,1098769,0.6947502135588869,0
Orange,2,1771,1064854,0.6794042116076014,0
Orange,str,3550,2163624,0.34346100270260616,0
Orange,dyn,3550,2165392,0.3437416610114335,0
